idrev_places;text;estrellas;label;fecha_q;fecha_rev;id_place;usuarios_iduser;num palabras
ChdDSUhNMG9nS0VJQ0FnSUM0bVpqVTNnRRAB;Es un lugar donde llegan toda clase de carros a comprar combustible;3;neutro;2022-7-26;Hace 3 años;4718154740685686;1.12428703284253E+020;12
ChdDSUhNMG9nS0VJQ0FnSUM0c29HRGxBRRAB;Algo caro;3;neutro;2022-8-2;Hace 3 años;4.80854897435494E+016;1.05571875135028E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0cFktSTZRRRAB;El comentario es el mismo que para muchos lugares donde se expende gasolina: estar atento a que no te despachen menor cantidad de gasolina que la solicitada, bajarse del auto y estar atento puede hacer la diferencia. los baños no son nada;3;neutro;2022-8-3;Hace 3 años;4733912274130738;1.02660180931238E+020;42
ChdDSUhNMG9nS0VJQ0FnSUM0d0ttQWxnRRAB;Aceptable servicio;3;neutro;2022-7-26;Hace 3 años;4.62015767409895E+016;1.13770982683527E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0enVDTnd3RRAB;Normal;3;neutro;2022-8-2;Hace 3 años;4998977434079;1.09451033282817E+020;1
ChdDSUhNMG9nS0VJQ0FnSUM0LWFxSXdRRRAB;Regular;2;neutro;2022-8-2;Hace 3 años;5.00867177447728E+016;1.01244109637938E+020;1
ChdDSUhNMG9nS0VJQ0FnSUM0MjRmRmlBRRAB;Autoservicio de combustible;3;neutro;2022-7-28;Hace 3 años;4.6078228741067E+016;1.03334616413669E+020;3
ChdDSUhNMG9nS0VJQ0FnSUM0N0wtVDBRRRAB;Empleados atentos y amables.;3;neutro;2022-8-3;Hace un año;4.56665037422806E+016;1.0971042712041E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM2aHBMRWp3RRAB;De pasó;3;neutro;2022-7-26;Hace 10 meses;4688447406199;1.11827096359431E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM2aTRTTC1RRRAB;En cierto momento se demoran en atender demasiado;3;neutro;2022-7-26;Hace 10 meses;4694087774123264;1.09432785725811E+020;8
ChdDSUhNMG9nS0VJQ0FnSUM2aV8tTG93RRAB;Nada que destacar o criticar.;3;neutro;2022-7-26;Hace 10 meses;4719435740466835;1.14928616220112E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM2aWUtRmh3RRAB;Les falta más orden;3;neutro;2022-7-26;Hace 10 meses;4.74112917408999E+016;1.04062653040341E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM2azhxenlnRRAB;No me gusta los autoservicios;3;neutro;2022-7-26;Hace 10 meses;4.57900327412772E+016;1.00833786356813E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM2b2F1WnR3RRAB;Una EDS estándar. Sin comentarios. Los precios son cómodos.;3;neutro;2022-7-26;Hace 10 meses;4598245874145371;1.14928616220112E+020;9
ChdDSUhNMG9nS0VJQ0FnSUM2blBTd3V3RRAB;Estación Pepe Sierra poca gente ala hora nocturna,;3;neutro;2022-7-28;Hace 10 meses;4.69879497405525E+016;1.14099705709356E+020;8
ChdDSUhNMG9nS0VJQ0FnSUM2bV9ISXJRRRAB;Mas o menos;3;neutro;2022-7-28;Hace 10 meses;4.5948411741455E+016;1.1379984820005E+020;3
ChdDSUhNMG9nS0VJQ0FnSUM2d0s2YWlBRRAB;Está estación de combustible en las noches tiene bastante afluencia de personas con toda clase de vehículos. Así que hay que tener paciencia si decides tanquear tu vehículo alli.;3;neutro;2022-7-28;Hace 11 meses;462467274179157;1.17591112264381E+020;29
ChdDSUhNMG9nS0VJQ0FnSUM2dzdISmxRRRAB;El servicio es normal. Aveces no reciben tarjeta para el pago.;4;neutro;2022-7-26;Hace 10 meses;4.64206057415538E+016;1.17777586744099E+020;11
ChdDSUhNMG9nS0VJQ0FnSUM2MmJhVjFnRRAB;Normalita, buen servicio, tranquila.;5;neutro;2022-7-28;Hace 10 meses;4.81924477403467E+016;1.06813293869188E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM2N2U2MThnRRAB;Igual atrás estaciones de servicio;3;neutro;2022-7-26;Hace 10 meses;4.70374587410179E+016;1.1459043709966E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM2N3B1RWlRRRAB;Nada de particular, la tienda de comida extremadamente costosa;3;neutro;2022-8-2;Hace 10 meses;4968769743135446;1.0791771312156E+020;9
ChdDSUhNMG9nS0VJQ0FnSUM2NG8yd2t3RRAB;Es una estación de gasolina, no hay mucho para decir;3;neutro;2022-8-2;Hace 11 meses;4.63485677444989E+016;1.06267368451731E+020;10
ChdDSUhNMG9nS0VJQ0FnSUM2Njd6djZBRRAB;La medida exacta, pero nos falta una mejor atención, mas pronta rápida, y manejar mas el efectivo.;3;neutro;2022-7-26;Hace 10 meses;4.6539906741419E+016;1.18191505328261E+020;17
ChdDSUhNMG9nS0VJQ0FnSUM2OC02MzVBRRAB;Buen precio, buena medida, colaboradores atienden muy regular.;3;neutro;2022-7-26;Hace 10 meses;4.74790177404649E+016;1.05217596366316E+020;8
ChdDSUhNMG9nS0VJQ0FnSUM2OE12eHdBRRAB;Un lugar para repostar de combustible, y sobre todo un lugar de encuentro para los ciclistas que salen a rodar si occidente de la capital;3;neutro;2022-8-3;Hace 11 meses;4.75883887415633E+016;1.00081686325249E+020;25
ChdDSUhNMG9nS0VJQ0FnSUM2OEpiWTJRRRAB;Una estación normal Terpel;4;neutro;2022-7-26;Hace 10 meses;4.64553177413034E+016;1.04456503615445E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM2X04yemp3RRAB;Tiene mucho éxito hay mucha fila para tanquear;3;neutro;2022-7-26;Hace 10 meses;4.73865797406535E+016;1.06891483225646E+020;8
ChdDSUhNMG9nS0VJQ0FnSUM4bHY2UXNBRRAB;Cumple si función;3;neutro;2022-8-2;Hace 2 años;5.06987517460044E+016;1.00153220881499E+020;3
ChdDSUhNMG9nS0VJQ0FnSUMwaGF2WGp3RRAB;Buena calidad mala atención;4;neutro;2022-7-26;Hace 2 años;471376474097385;1.06850740968646E+020;4
ChdDSUhNMG9nS0VJQ0FnSUMwbjlLU2tRRRAB;"Una bomba
Mas";4;neutro;2022-8-3;Hace 2 años;4.8767214740376E+016;1.1320957555608E+020;2
ChdDSUhNMG9nS0VJQ0FnSUMwbWY2b2xRRRAB;Estación de servicio normal;3;neutro;2022-7-26;Hace 2 años;4.74790177404649E+016;1.15308479203621E+020;4
ChdDSUhNMG9nS0VJQ0FnSUMwc00tUjJBRRAB;Standard puede mejorar;3;neutro;2022-7-26;Hace 2 años;4755437408015;1.04209232085515E+020;3
ChdDSUhNMG9nS0VJQ0FnSUMwcDU3Mi1RRRAB;Caro el combustible;3;neutro;2022-7-26;Hace 2 años;4.68882557404724E+016;1.1722517404178E+020;3
ChdDSUhNMG9nS0VJQ0FnSUMwczlHVzBRRRAB;Gasolina a precio normallll;4;neutro;2022-8-2;Hace 2 años;5.06987517460044E+016;1.09144979652834E+020;4
ChdDSUhNMG9nS0VJQ0FnSUMwczltZWhBRRAB;Gasolina a precio racional;3;neutro;2022-7-26;Hace 2 años;464043674115471;1.09144979652834E+020;4
ChdDSUhNMG9nS0VJQ0FnSUMwd3NiUTFRRRAB;Normal.;3;neutro;2022-7-28;Hace 2 años;468580474113202;1.10176908086209E+020;1
ChdDSUhNMG9nS0VJQ0FnSUMweW9qYjBBRRAB;Buen precio pero la gasolina ha salido con suciedad en tres ocasiones;2;neutro;2022-7-26;Hace 2 años;468103674088714;1.11328094360202E+020;12
ChdDSUhNMG9nS0VJQ0FnSUMwLUs2Si1nRRAB;Pues que les puedo decir, venden todos los combustibles para automóviles, más nada. El previo es normal y creo que si tanquean lo que es.;5;neutro;2022-8-3;Hace 2 años;4558413274123156;1.11445365311853E+020;25
ChdDSUhNMG9nS0VJQ0FnSUMwLVBxcm1BRRAB;Buen servicio aunque un poco lentos para entender;3;neutro;2022-7-26;Hace 2 años;4.66813327410966E+016;1.0049977776955E+020;8
ChdDSUhNMG9nS0VJQ0FnSUMwLXZpM2t3RRAB;Normal normal.;3;neutro;2022-7-28;Hace 2 años;4.73523017413272E+016;1.13172268687662E+020;2
ChdDSUhNMG9nS0VJQ0FnSUMwMnJLLWtRRRAB;He estado ahí pero no por gasolina pero esta muy bien ubicado.;3;neutro;2022-8-2;Hace 2 años;4.88120677443981E+016;1.0258925041344E+020;12
ChdDSUhNMG9nS0VJQ0FnSUMwMWJmYTJ3RRAB;La mayoría de veces es demorada la atención;3;neutro;2022-7-28;Hace 2 años;4.71394157409363E+016;1.08320530812377E+020;8
ChdDSUhNMG9nS0VJQ0FnSUMwN1ozcW9RRRAB;Gasolina de emergencia;3;neutro;2022-7-26;Hace 2 años;468765174074794;1.01892984632732E+020;3
ChdDSUhNMG9nS0VJQ0FnSUMwNExTN3F3RRAB;" Gasolinera


Gas station";4;neutro;2022-7-26;Hace 2 años;4.80015617403897E+016;1.006839628029E+020;2
ChdDSUhNMG9nS0VJQ0FnSUMwNl9qcnVRRRAB;La gasolina es muy económica pero tengo mis dudas en cuanto al rendimiento de la misma.;3;neutro;2022-7-26;Hace 2 años;4677139741173745;1.06808272050192E+020;16
ChdDSUhNMG9nS0VJQ0FnSUMwNXVxcjdRRRAB;Excelente parqueadero en Sibate. Comodo y seguro;3;neutro;2022-8-3;Hace 2 años;4.49516897425785E+016;1.06005063677157E+020;7
ChdDSUhNMG9nS0VJQ0FnSUMya0p5d2tnRRAB;Muy buena;3;neutro;2022-7-28;Hace 3 meses;4.73687937410363E+016;1.04745143919521E+020;2
ChdDSUhNMG9nS0VJQ0FnSUMyb01Xd2d3RRAB;Muy demorados en la atención, los empleados no son muy eficientes... Buen precio de la gasolina...;3;neutro;2022-7-26;Hace 3 meses;464043674115471;1.04529336058121E+020;16
ChdDSUhNMG9nS0VJQ0FnSUMybE9QU3dBRRAB;Muy congestionado pero bien;3;neutro;2022-7-26;Hace 3 meses;4639477415666;1.14598118268109E+020;4
ChdDSUhNMG9nS0VJQ0FnSUMyc01TRTRBRRAB;La gasolina es un poco más económica pero eliminaron el plan millas..;3;neutro;2022-7-26;Hace 3 meses;4755437408015;1.03992901431952E+020;12
ChdDSUhNMG9nS0VJQ0FnSUMycFB1VTZnRRAB;La vía de aceso muy congestionada impresionantes, la estación normal.;3;neutro;2022-7-26;Hace 3 meses;469351740914952;1.13690206798434E+020;10
ChdDSUhNMG9nS0VJQ0FnSUMycHBMdTVnRRAB;Mal echo q despidieron a la señora luz valois una de las isleras por algo q no cometió siendo ella la más correcta q ingenuamente vino ese tipo a pedir un recibo y ella de inocente le hizo el favor deberían castigar al sujeto más no a ella;3;neutro;2022-7-28;Hace 3 meses;4613009474171582;1.08431554044661E+020;48
ChdDSUhNMG9nS0VJQ0FnSUMydDdtVmt3RRAB;Regular servicio;3;neutro;2022-7-26;Hace 2 meses;4.66384887410938E+016;1.0487331014883E+020;2
ChdDSUhNMG9nS0VJQ0FnSUMyeFpfdjBBRRAB;Estación de gasolina;3;neutro;2022-7-28;Hace 3 meses;4589273474161609;1.01117593371087E+020;3
