idrev_places;text;estrellas;label;fecha_q;fecha_rev;id_place;usuarios_iduser;num palabras
ChdDSUhNMG9nS0VJQ0FnSUM0a09lT2h3RRAB;Combustible de bajos precios;5;positivo;2022-7-28;Hace 3 años;4806306740383611;1.18324610301491E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM0a0txMzlRRRAB;Superior;5;positivo;2022-7-26;Hace 3 años;4.72137857406094E+016;1.05450589295547E+020;1
ChdDSUhNMG9nS0VJQ0FnSUM0aEw2QTN3RRAB;La gasolina es muy económica y buena son un poco demorados en la atención;4;positivo;2022-7-26;Hace 3 años;469351740914952;1.11474245418721E+020;14
ChdDSUhNMG9nS0VJQ0FnSUM0aFBXMjZnRRAB;Gasolina muy costosa salí y me fui a la siguiente;3;negativo;2022-8-2;Hace 3 años;4.71456837424081E+016;1.16476619200008E+020;10
ChdDSUhNMG9nS0VJQ0FnSUM0aGMzcDVBRRAB;Muy buena la medida;4;positivo;2022-8-2;Hace 3 años;5.06888057459944E+016;1.06775988584704E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM0ak1iaHlnRRAB;No tiene buenos baños;3;negativo;2022-7-26;Hace 3 años;4.68746437403537E+016;1.01765322970546E+020;4
ChdDSUhNMG9nS0VJQ0FnSUM0akxLTnJRRRAB;Precios muy costosos;1;negativo;2022-7-28;Hace 3 años;4667668374073143;1.06518731810798E+020;3
ChdDSUhNMG9nS0VJQ0FnSUM0anBlSHNnRRAB;Excelente servicio;4;positivo;2022-7-26;Hace 3 años;4.64473817406164E+016;1.04042296827992E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0anIzTnVRRRAB;Buen precio;5;positivo;2022-8-3;Hace 3 años;5057260973982844;1.11114190609628E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0anQyM3l3RRAB;Servicio de lavado y montallantas;5;positivo;2022-7-26;Hace 3 años;4.72521877405704E+016;1.11114190609628E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM0anYyMGxnRRAB;Buenos precios servicios y ubicación;5;positivo;2022-7-26;Hace 3 años;4.62704317406575E+016;1.11114190609628E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM0aU1EMHNBRRAB;Los policías no respetan la fila,se meten y los señores q atienden la bomba ni dicen nada.Policias a hacer la línea respetando el turno de cada cliente;3;negativo;2022-7-26;Hace 3 años;4.74112917408999E+016;1.12436761872473E+020;27
ChdDSUhNMG9nS0VJQ0FnSUM0aU1ERnNBRRAB;Excelente servicio!;5;positivo;2022-7-26;Hace 3 años;4.73437387408008E+016;1.13998427970842E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0aWNTYnZRRRAB;Buenos precios;5;positivo;2022-7-26;Hace 3 años;4.66436797406064E+016;1.11347854995467E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0b00zSnBBRRAB;Excelentes precios y buen combustible;5;positivo;2022-7-26;Hace 3 años;4.74112917408999E+016;1.16707831519817E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM0b0t6Sml3RRAB;Buen servicio;5;positivo;2022-7-28;Hace 3 años;4.6078228741067E+016;1.00781858073842E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0b0xMX3d3RRAB;Garantizada;5;positivo;2022-8-3;Hace 3 años;4.57714977422226E+016;1.00781858073842E+020;1
ChdDSUhNMG9nS0VJQ0FnSUM0bEx2MWdnRRAB;Cuenta con buen servicio de baños, atención rápida, pagos con varios medios. Tienen varios lugares de comidas rápidas.;4;positivo;2022-7-26;Hace 3 años;4718154740685686;1.02660180931238E+020;18
ChdDSUhNMG9nS0VJQ0FnSUM0bExLMHB3RRAB;Excelente calidad de gasolina..lo garantizo el 100% rendimiento del motor ..se nota el cambio;5;positivo;2022-7-26;Hace 3 años;4719897405882;1.17248759750351E+020;14
ChdDSUhNMG9nS0VJQ0FnSUM0bVpTcDBnRRAB;Salvo lo hurañas de un par de empleadas.;4;positivo;2022-7-26;Hace 3 años;4.67418087409887E+016;1.0627779607718E+020;8
ChdDSUhNMG9nS0VJQ0FnSUM0bVpYT25nRRAB;Exelente atención, tienen servicio de monta llantas 24 horas;4;positivo;2022-7-26;Hace 3 años;4.68838087408805E+016;1.16106477424817E+020;9
ChdDSUhNMG9nS0VJQ0FnSUM0bWNTX2xBRRAB;Buen servicio y un precio del combustible muy bajo. De los más bajos de la ciudad;5;positivo;2022-7-26;Hace 3 años;4.65082437407028E+016;1.01770896363145E+020;16
ChdDSUhNMG9nS0VJQ0FnSUM0bXBtVXF3RRAB;Muy congestionada;3;negativo;2022-7-26;Hace 3 años;4755437408015;1.05013906029783E+020;2
ChdDSUhNMG9nS0VJQ0FnSUM0bXVXYXR3RRAB;Mala la gasolina no rinde;1;negativo;2022-8-3;Hace 3 años;4.49516897425785E+016;1.11376311779063E+020;5
ChdDSUhNMG9nS0VJQ0FnSUM0by1iUS13RRAB;Son muy atentos;5;positivo;2022-8-3;Hace 3 años;4.86009557406273E+016;1.02985125073716E+020;3
ChdDSUhNMG9nS0VJQ0FnSUM0c05xaHBnRRAB;Precios bajos en combustible, excelente atención por parte del personal.;5;positivo;2022-7-26;Hace 3 años;4.66384887410938E+016;1.0685816264165E+020;10
ChdDSUhNMG9nS0VJQ0FnSUM0c0tfSzdBRRAB;Los bomberos hacen que tanquean y se roban la tanqueada pésima bomba;1;negativo;2022-7-26;Hace 4 años;4.72827847402423E+016;1.02018823475318E+020;12
ChdDSUhNMG9nS0VJQ0FnSUM0c2ZpTmpBRRAB;Caro el combustible para ser autoservicio;3;negativo;2022-7-28;Hace 3 años;4.6078228741067E+016;1.00153003018443E+020;6
ChdDSUhNMG9nS0VJQ0FnSUM0cDluYThBRRAB;Personal amable atiende, gana puntos por tanque ar.;5;positivo;2022-7-26;Hace 3 años;4.65948847405942E+016;1.02613147214582E+020;8
ChdDSUhNMG9nS0VJQ0FnSUM0cE0tdXlBRRAB;GNV, encuentras gas natural vehicular, buena atención y bien situada;5;positivo;2022-8-2;Hace 3 años;4.81687367436244E+016;1.12868998771317E+020;10
